"season","yr","mnth","holiday","weekday","workingday","weathersit","temp","atemp","hum","windspeed","cnt","predictions"
"4","1","11","0","5",1,"1",0.361667,0.355413,0.540833,0.214558,5992,5632.28201822511
"2","0","5","0","1",1,"1",0.5325,0.525246,0.58875,0.176,4362,4437.05379881768
"2","1","5","0","3",1,"2",0.621667,0.584612,0.774583,0.102,5260,5764.2653445166
"2","1","4","0","0",0,"1",0.606667,0.573875,0.507917,0.225129,7132,6867.70460415921
"4","0","10","0","3",1,"2",0.484167,0.472846,0.720417,0.148642,3894,4026.18977142857
"4","0","9","0","2",1,"2",0.636667,0.574525,0.885417,0.118171,4120,4079.5738475913
"3","0","7","0","3",1,"1",0.72,0.685633,0.743333,0.149883,4629,4606.49025296633
"4","0","11","0","4",1,"1",0.408333,0.405921,0.702083,0.136817,3974,3766.9053800905
"3","1","8","0","0",0,"2",0.635833,0.603554,0.711667,0.08645,4549,5608.8901991453
"4","0","10","0","2",1,"1",0.484167,0.472858,0.71,0.205854,4456,4471.43860826199
"2","1","5","0","2",1,"2",0.581667,0.557471,0.685833,0.296029,5728,5677.62386092796
"4","0","11","0","6",0,"1",0.375833,0.385087,0.681667,0.0684208,3068,3286.21767368024
"3","1","8","0","1",1,"1",0.720833,0.662254,0.545417,0.136212,6883,6879.13596471437
"1","0","2","0","0",0,"1",0.285833,0.291671,0.568333,0.1418,1623,1765.89791821789
"2","0","4","1","5",0,"1",0.446667,0.441913,0.67125,0.226375,3126,3277.91478888889
"2","1","4","0","0",0,"1",0.458333,0.450121,0.587083,0.116908,6304,6137.71731428571
"4","1","11","0","3",1,"2",0.295833,0.274621,0.5475,0.304108,5035,4885.44617039823
"1","1","1","0","2",1,"2",0.373043,0.364278,0.716087,0.34913,2935,3225.65161471612
"3","1","8","0","4",1,"1",0.695833,0.637008,0.635833,0.0845958,7765,7590.50394924979
"4","0","11","0","2",1,"3",0.416667,0.421696,0.9625,0.118792,1607,2040.89477368024
"4","1","12","0","4",1,"2",0.33,0.335217,0.667917,0.132463,4128,4467.80115366023
"3","1","7","0","6",0,"1",0.861667,0.804913,0.492083,0.163554,4840,5283.60995037348
"1","1","2","0","0",0,"1",0.279167,0.268308,0.41,0.205229,3389,3270.88888672439
"2","0","4","0","4",1,"1",0.459167,0.453892,0.407083,0.325258,4189,3993.62305606061
"1","1","2","0","3",1,"2",0.256667,0.266421,0.722917,0.133721,2802,2937.95116120836
"2","1","6","0","5",1,"1",0.639167,0.599754,0.589583,0.176617,7665,7465.90436424785
"2","1","5","0","0",0,"1",0.620833,0.583967,0.530417,0.254367,7129,6848.05037132506
"3","1","7","0","1",1,"2",0.710833,0.654054,0.683333,0.180975,6569,6548.81207801643
"4","0","12","0","5",1,"1",0.290833,0.317542,0.695833,0.0827167,3620,3593.536580146
"3","1","8","0","6",0,"1",0.793333,0.751267,0.613333,0.257458,6824,6464.53603593074
"2","0","5","0","0",0,"2",0.451667,0.448204,0.762083,0.106354,3351,3501.23974444444
"1","0","2","0","3",1,"2",0.134783,0.144283,0.494783,0.188839,1605,1589.76768396559
"4","1","11","0","3",1,"1",0.289167,0.281563,0.552083,0.199625,5495,5296.84206732535
